SN,District,School_Name,Type,Status,Boarding,Trade_Count,Accredited_Trades,Not_Accredited_Trades,Reasons
5,KAYONZA,AMIZERO INSTITUTE OF TECHNOLOGY & HOSPITALITY.,TSS,Private,Mixed (Boarding and Day),3,. Culinary Arts L1 | 2 . Hairdressing L1 | 3 .Food & Beverage operations L3-5,None,None
6,KAYONZA,GS RUKARA TSS,TSS,Gov Aided,Day,2,Electrical Technology L3-5 | Building Construction L3-5,None,None
7,KAYONZA,GS BUHABWA TSS,TSS,Public,Day,2,Agriculture L3-5 | Animal Health L3-5,None,None
8,KAYONZA,GS JURUTSS,TSS,Government Aided,Day,2,Manufacturing Technology L3-5 | Building construction L3-5,None,None
9,KAYONZA,INSTITUT DON BOSCO KABARONDO TSS,TSS,Gov Aided,Boarding,7,Building Construction L3-5 | Food and Beverage Operations L3-5 | Electrical Technology L3-5 | Land Surveying L3-5 | Software Development L3-5 | Wood Technology L3-5 | Manufacturing Technology L3-5,None,None
10,KAYONZA,KABARONDO,VTC,VTC,Private,4,Boarding | Tailoring L1 | Hairdressing L1 | Welding L1,None,None
11,KAYONZA,ES RURAMIRA TSS,TSS,Gov Aided,Day,2,Manufacturing Technology L3-5	^: | Automobile Technology L3-5	?,None,Page 24 of 80	x^O^
12,KAYONZA,COLLEGE APPEKA KABARONDO TSS,TSS,Private,Boarding and Day,2,Building Construction L3-5 | Networking and Internet Technology L3-5,None,None
13,KAYONZA,GS Migera TSS,TSS,Government Aided,Day,2,Water and Irrigation L3-5 | Agriculture L3-5,None,None
14,KAYONZA,Nyamirama TSS,TSS,Public,Boarding,6,Electrical Technology L3-5 | Fashion Design L3-5. | Wood Technology L3-5 | Manufacturing Technology L3-5 | Plumbing Technology L3-5 | Building Technology L3-5,None,None
15,KAYONZA,E.S NDEGO I TSS,TSS,Public,Day,2,Building Construction L3-5 | Electrical Technology L3-5,None,None
16,KAYONZA,St Christopher TSS,TSS,Private,Boarding,4,"Fashion Design L3-5 | Automobile Technology L3-5 | Multimedia Production L3-5 | Computer Systems and Architecture L3-5, 5. Tailoring L1",None,None
17,KAYONZA,GS ADELAIDE TSS,TSS,Gov Aided),Day,2,Food Processing L3-5 | Food and Beverage Operations L3-5,None,None
18,KAYONZA,AGAKIRIRO VTC,VTC,Private,Day,0,None,f / / it A '» Y | Carpentry L1 | Welding L1 | Leather Works,None
1,KICUKIRO,GS AYABARAYA TSS,TSS,PUBLIC,DAY,2,Automobile Technology L3-5 | Manufacturing Technology L3-5,None,None
2,KICUKIRO,ST. EMMANUEL COMPLEX SCHOOL MASAKA TSS,TSS,Private,Day,4,Computer System and Architecture L3-5 | Software Development L3-5 | Building Construction L3-5 | Electronics and Telecommunication L3-5,None,1. Tailoring L1
3,KICUKIRO,ERM HOPE VTC,VTC,Private,Mixed (Day and boarding),4,Hairdressing L1 | Culinary Arts | Welding L1 | Masonry L1,None,None
4,KICUKIRO,ESSA NYARUGUNGA,TSS,Private,Boarding,5,Software Development L3-5 | Food and Beverage Operations L3-5 | Building Construction L3-5 | Computer System and Architecture L3-5 | Tourism L3-5,None,None
5,KICUKIRO,CERFORMIVTV,VTC,Private,Mixed (Day and boarding),8,1 . Tailoring L1 | 2 . Hairdressing LI | 3 .Culinary Arts L1 | 4 . Domestic Electricity LI | 5 .Welding LI . | 6 .Carpentry L1 | 7 .Masonry LI | 8 .Domestic PlumbingLI .	\ t\,None,Page 29 of 80	'	‘
6,KICUKIRO,UMUSHUMBAMWIZA,VTC,VTC,Private,4,Mixed (Day and boarding) | Tailoring L1 | Hairdressing L1 | Culinary Arts L1,None,None
7,KICUKIRO,SKIM VTC,VTC,Private,Day,2,Tailoring L1 | Hair dressing L1,None,None
8,KICUKIRO,SAMUDUHA INTEGRATED COLLEGE,TSS,Private,Boarding,6,Computer systems and architectureL3-5 | Tourism L3-5 | Networking and Internet Technologies L3-5 | Building construction L3-5 | Electrical Technology L3-5 | Automobile technology L3-5,None,None
9,KICUKIRO,SAINT PHILLIPPE TSS,TSS,Private,Day,3,1 .Food and beverage operations L3-5 | 2 . Software Development L3-5 | Tourism-L3-5,None,None
10,KICUKIRO,UMUHOZA VTC,VTC,Private,Day,1,Tailoring L1,None,None
11,KICUKIRO,GARUKA VTC,VTC,Private,Day,2,Tailoring L1 | Culinary Arts L1,None,None
12,KICUKIRO,INTANGO TSS,TSS,Private,Day,2,Software Development L3-5 | Computer Application L2,None,None
13,KICUKIRO,IHUMURETSS,VTC,Private,Day,4,1 .Tailoring L1 | 2 . Hair dressing LI | 3 .Welding-L1	v | 4 .Carpentry-L1 '~f ^ N ^\,None,Page 30 of80	\
14,KICUKIRO,COLLEGE GEORGE FOX DE KAGARAMA,TSS,Private,Day,3,Tourism L3-5 | Software development L3-5 | Networking and internet technology L3-5,None,None
15,KICUKIRO,MWANANSHUTI VTC,VTC,Private,Day,2,Hair dressing L1 | Culinary arts L3-5,None,None
16,KICUKIRO,IPRC KIGALI TSS,TSS,PUBLIC,Day,8,Building construction L3-5 | Public works L3-5 | Networking and Internet technology L3-5 | Electrical technology L3-5 | Automobile technology L3-5 | Manufacturing technology L3-5 | Electronic and telecommunication | L3-5,None,None
17,KICUKIRO,KICUKIRO WOMEN VOCATIONAL TRAINING CENTER,VTC,Private,Day,2,Tailoring L1 | Hairdressing L1,None,None
18,KICUKIRO,SAINT CHARLES DE JESUS TSS,TSS,Private,Mixed (Day and boarding),6,Automobile technology L3-5 | Manufacturing technology L3-5 | Domestic electricity L1 | Carpentry L1 | Welding L1 | Tailoring L1,None,None
19,KICUKIRO,CENTRE,PRESBYTERIEN,D'AMOUR DE JEUNES,VTC,3,Private | Tailoring L1 | Hairdressing L1,None,None
20,KICUKIRO,ECOLE SECONDAIRE,SAINT PATRICK,TSS,Private,3,Software Development L3-5 | Tourism L3-5 | Food and beverage operations L'3-5,None,Page 31 of 80
